"Protein","Protein Description"
"XP_020600647.1","uncharacterized protein LOC110039838 [Orbicella faveolata]"
"XP_020600649.1","uncharacterized protein LOC110039840 isoform X1 [Orbicella faveolata]"
"XP_020600660.1","kelch-like protein 30 [Orbicella faveolata]"
"XP_020600662.1","NFX1-type zinc finger-containing protein 1-like isoform X1 [Orbicella faveolata]"
"XP_020600665.1","DELTA-actitoxin-Aeq1b-like [Orbicella faveolata]"
"XP_020600667.1","NFX1-type zinc finger-containing protein 1-like, partial [Orbicella faveolata]"
"XP_020600672.1","N-acetylglutamate synthase, mitochondrial-like [Orbicella faveolata]"
"XP_020600673.1","carcinoembryonic antigen-related cell adhesion molecule 16-like [Orbicella faveolata]"
"XP_020600674.1","carbamoyl-phosphate synthase [ammonia], mitochondrial-like [Orbicella faveolata]"
"XP_020600675.1","voltage-dependent L-type calcium channel subunit beta-2-like [Orbicella faveolata]"
"XP_020600676.1","anion exchange protein 3-like [Orbicella faveolata]"
"XP_020600677.1","uncharacterized protein LOC110039864 [Orbicella faveolata]"
"XP_020600684.1","peptide-N(4)-(N-acetyl-beta-glucosaminyl)asparagine amidase-like isoform X1 [Orbicella faveolata]"
"XP_020600687.1","ABC transporter G family member 7-like isoform X1 [Orbicella faveolata]"
"XP_020600690.1","centromere/kinetochore protein zw10 homolog [Orbicella faveolata]"
"XP_020600692.1","phosphatidylserine decarboxylase proenzyme 2-like [Orbicella faveolata]"
"XP_020600697.1","armadillo repeat-containing protein 4-like [Orbicella faveolata]"
"XP_020600698.1","retinol dehydrogenase 8-like [Orbicella faveolata]"
"XP_020600699.1","probable ATP-dependent RNA helicase DDX46 [Orbicella faveolata]"
"XP_020600701.1","26S proteasome non-ATPase regulatory subunit 7-like [Orbicella faveolata]"
"XP_020600707.1","dynactin subunit 2-like [Orbicella faveolata]"
"XP_020600708.1","triple functional domain protein-like isoform X1 [Orbicella faveolata]"
"XP_020600724.1","serine hydroxymethyltransferase, mitochondrial-like [Orbicella faveolata]"
"XP_020600743.1","collagen triple helix repeat-containing protein 1-like [Orbicella faveolata]"
"XP_020600746.1","adenosylhomocysteinase 2-like isoform X1 [Orbicella faveolata]"
"XP_020600749.1","putative adenosylhomocysteinase 3 isoform X2 [Orbicella faveolata]"
"XP_020600753.1","uncharacterized protein LOC110039917, partial [Orbicella faveolata]"
"XP_020600755.1","collagen triple helix repeat-containing protein 1-like [Orbicella faveolata]"
"XP_020600756.1","collagen triple helix repeat-containing protein 1-like [Orbicella faveolata]"
"XP_020600758.1","cytochrome b-c1 complex subunit Rieske, mitochondrial-like [Orbicella faveolata]"
"XP_020600764.1","nuclear respiratory factor 1-like [Orbicella faveolata]"
"XP_020600765.1","uncharacterized protein LOC110039927 [Orbicella faveolata]"
"XP_020600775.1","uncharacterized protein LOC110039935 [Orbicella faveolata]"
"XP_020600788.1","uncharacterized protein LOC110039944 [Orbicella faveolata]"
"XP_020600789.1","uncharacterized protein LOC110039949 [Orbicella faveolata]"
"XP_020600800.1","transmembrane protease serine 2-like isoform X1 [Orbicella faveolata]"
"XP_020600803.1","heat shock cognate 71 kDa protein-like [Orbicella faveolata]"
"XP_020600810.1","LIM domain-containing protein unc-97-like isoform X1 [Orbicella faveolata]"
"XP_020600826.1","regulation of nuclear pre-mRNA domain-containing protein 2-like [Orbicella faveolata]"
"XP_020600827.1","galactose-1-phosphate uridylyltransferase-like [Orbicella faveolata]"
"XP_020600829.1","ubiquitin-conjugating enzyme E2 R2-like [Orbicella faveolata]"
"XP_020600835.1","uncharacterized protein LOC110039994 [Orbicella faveolata]"
"XP_020600838.1","uncharacterized protein LOC110039997 [Orbicella faveolata]"
"XP_020600841.1","eukaryotic elongation factor 2 kinase-like [Orbicella faveolata]"
"XP_020600845.1","synaptogyrin-2-like [Orbicella faveolata]"
"XP_020600846.1","neuroblastoma-amplified sequence-like [Orbicella faveolata]"
"XP_020600849.1","uncharacterized protein LOC110040005 [Orbicella faveolata]"
"XP_020600850.1","uncharacterized protein LOC110040006 [Orbicella faveolata]"
"XP_020600854.1","ER membrane protein complex subunit 2-like [Orbicella faveolata]"
"XP_020600855.1","E3 ubiquitin-protein ligase arih1-like [Orbicella faveolata]"
"XP_020600856.1","uncharacterized protein LOC110040010 [Orbicella faveolata]"
"XP_020600859.1","nucleoside diphosphate kinase 7-like [Orbicella faveolata]"
"XP_020600862.1","threonine--tRNA ligase, cytoplasmic-like [Orbicella faveolata]"
"XP_020600866.1","ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial [Orbicella faveolata]"
"XP_020600867.1","putative insulin-like peptide receptor [Orbicella faveolata]"
"XP_020600868.1","ras GTPase-activating protein 1-like [Orbicella faveolata]"
"XP_020600870.1","calcium-binding protein 39-like [Orbicella faveolata]"
"XP_020600873.1","vacuolar protein sorting-associated protein 45-like [Orbicella faveolata]"
"XP_020600875.1","collagen type IV alpha-3-binding protein-like [Orbicella faveolata]"
"XP_020600876.1","uncharacterized protein LOC110040030 [Orbicella faveolata]"
"XP_020600880.1","serine/threonine-protein kinase ULK3-like [Orbicella faveolata]"
"XP_020600881.1","bcl-2-like protein 1 [Orbicella faveolata]"
"XP_020600885.1","macrophage-expressed gene 1 protein-like [Orbicella faveolata]"
"XP_020600886.1","growth arrest-specific protein 1-like [Orbicella faveolata]"
"XP_020600887.1","sterol 3-beta-glucosyltransferase-like isoform X1 [Orbicella faveolata]"
"XP_020600890.1","skeletal aspartic acid-rich protein 2-like isoform X1 [Orbicella faveolata]"
"XP_020600893.1","MIP18 family protein FAM96A-like [Orbicella faveolata]"
"XP_020600897.1","uncharacterized protein LOC110040049 [Orbicella faveolata]"
"XP_020600899.1","myosin-11-like [Orbicella faveolata]"
"XP_020600911.1","igLON family member 5-like [Orbicella faveolata]"
"XP_020600912.1","neuronal growth regulator 1-like [Orbicella faveolata]"
"XP_020600917.1","peroxidasin homolog [Orbicella faveolata]"
"XP_020600921.1","beta-galactosidase-1-like protein 2 [Orbicella faveolata]"
"XP_020600922.1","igLON family member 5-like [Orbicella faveolata]"
"XP_020600926.1","uncharacterized protein ycf39-like isoform X1 [Orbicella faveolata]"
"XP_020600927.1","flavin reductase (NADPH)-like isoform X2 [Orbicella faveolata]"
"XP_020600930.1","flavin reductase (NADPH)-like isoform X1 [Orbicella faveolata]"
"XP_020600934.1","uncharacterized protein LOC110040085 [Orbicella faveolata]"
"XP_020600936.1","uncharacterized protein LOC110040087 [Orbicella faveolata]"
"XP_020600937.1","histone H2A-like [Orbicella faveolata]"
"XP_020600943.1","uncharacterized protein LOC110040092 [Orbicella faveolata]"
"XP_020600947.1","galectin-3-binding protein A-like [Orbicella faveolata]"
"XP_020600952.1","uncharacterized protein LOC110040103 [Orbicella faveolata]"
"XP_020600953.1","uncharacterized protein LOC110040108 isoform X1 [Orbicella faveolata]"
"XP_020600956.1","Golgi-associated plant pathogenesis-related protein 1-like [Orbicella faveolata]"
"XP_020600957.1","deleted in malignant brain tumors 1 protein-like [Orbicella faveolata]"
"XP_020600965.1","deleted in malignant brain tumors 1 protein-like [Orbicella faveolata]"
"XP_020600972.1","A disintegrin and metalloproteinase with thrombospondin motifs 7-like [Orbicella faveolata]"
"XP_020600973.1","reticulon-1-A-like [Orbicella faveolata]"
"XP_020600977.1","ATP synthase mitochondrial F1 complex assembly factor 1-like [Orbicella faveolata]"
"XP_020600978.1","peroxiredoxin-1-like isoform X1 [Orbicella faveolata]"
"XP_020600981.1","ephrin type-A receptor 4-like [Orbicella faveolata]"
"XP_020600984.1","1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-4-like [Orbicella faveolata]"
"XP_020600985.1","A disintegrin and metalloproteinase with thrombospondin motifs 3-like [Orbicella faveolata]"
"XP_020600993.1","uncharacterized protein LOC110040137 [Orbicella faveolata]"
"XP_020600996.1","cilia- and flagella-associated protein 57-like [Orbicella faveolata]"
"XP_020600997.1","A disintegrin and metalloproteinase with thrombospondin motifs 6-like [Orbicella faveolata]"
"XP_020601003.1","methylmalonic aciduria and homocystinuria type C protein homolog [Orbicella faveolata]"
"XP_020601004.1","phosphoglucomutase-like [Orbicella faveolata]"
"XP_020601006.1","uncharacterized protein LOC110040151 [Orbicella faveolata]"
"XP_020601007.1","A disintegrin and metalloproteinase with thrombospondin motifs 6-like [Orbicella faveolata]"
"XP_020601014.1","LOW QUALITY PROTEIN: serine/threonine-protein kinase mTOR-like [Orbicella faveolata]"
"XP_020601018.1","vacuolar protein sorting-associated protein 16 homolog [Orbicella faveolata]"
"XP_020601019.1","semaphorin-5B-like [Orbicella faveolata]"
"XP_020601021.1","uncharacterized protein LOC110040168 [Orbicella faveolata]"
"XP_020601026.1","peptidyl-prolyl cis-trans isomerase G-like isoform X3 [Orbicella faveolata]"
"XP_020601027.1","uncharacterized protein LOC110040173 [Orbicella faveolata]"
"XP_020601035.1","multidrug resistance-associated protein 4-like isoform X2 [Orbicella faveolata]"
"XP_020601037.1","uncharacterized protein LOC110040184 isoform X1 [Orbicella faveolata]"
"XP_020601039.1","uncharacterized protein LOC110040185 [Orbicella faveolata]"
"XP_020601040.1","uncharacterized protein LOC110040186 [Orbicella faveolata]"
"XP_020601041.1","protein SGT1 homolog [Orbicella faveolata]"
"XP_020601042.1","uncharacterized protein LOC110040189 [Orbicella faveolata]"
"XP_020601050.1","glutathione synthetase-like [Orbicella faveolata]"
"XP_020601051.1","leucine-rich repeat-containing protein 51-like [Orbicella faveolata]"
"XP_020601054.1","uncharacterized protein LOC110040202 [Orbicella faveolata]"
"XP_020601056.1","uncharacterized protein LOC110040203 [Orbicella faveolata]"
"XP_020601065.1","lipoxygenase homology domain-containing protein 1-like isoform X1 [Orbicella faveolata]"
"XP_020601070.1","APOBEC1 complementation factor-like isoform X1 [Orbicella faveolata]"
"XP_020601077.1","78 kDa glucose-regulated protein-like [Orbicella faveolata]"
"XP_020601080.1","WD repeat-containing protein 5-like [Orbicella faveolata]"
"XP_020601085.1","uncharacterized protein LOC110040221 [Orbicella faveolata]"
"XP_020601090.1","pre-mRNA-splicing factor 38A-like [Orbicella faveolata]"
"XP_020601107.1","endothelin-converting enzyme homolog [Orbicella faveolata]"
"XP_020601108.1","dynamin-1-like [Orbicella faveolata]"
"XP_020601109.1","LOW QUALITY PROTEIN: engulfment and cell motility protein 1-like [Orbicella faveolata]"
"XP_020601112.1","cell cycle control protein 50A-like isoform X1 [Orbicella faveolata]"
"XP_020601114.1","MIT domain-containing protein 1-like [Orbicella faveolata]"
"XP_020601116.1","dystrophin-like isoform X1 [Orbicella faveolata]"
"XP_020601121.1","utrophin-like isoform X1 [Orbicella faveolata]"
"XP_020601122.1","utrophin-like isoform X2 [Orbicella faveolata]"
"XP_020601127.1","patched domain-containing protein 3-like isoform X1 [Orbicella faveolata]"
"XP_020601129.1","patched domain-containing protein 3-like isoform X3 [Orbicella faveolata]"
"XP_020601133.1","uncharacterized protein LOC110040258 [Orbicella faveolata]"
"XP_020601134.1","superoxide dismutase [Cu-Zn]-like [Orbicella faveolata]"
"XP_020601142.1","dual 3',5'-cyclic-AMP and -GMP phosphodiesterase 11-like [Orbicella faveolata]"
"XP_020601145.1","dorsal-ventral patterning tolloid-like protein 1, partial [Orbicella faveolata]"
"XP_020601146.1","dorsal-ventral patterning tolloid-like protein 1 [Orbicella faveolata]"
"XP_020601148.1","matrix metalloproteinase-14-like [Orbicella faveolata]"
"XP_020601149.1","uncharacterized protein LOC110040274 [Orbicella faveolata]"
"XP_020601155.1","golgin subfamily A member 4-like [Orbicella faveolata]"
"XP_020601156.1","TNF receptor-associated factor 3-like [Orbicella faveolata]"
"XP_020601163.1","piwi-like protein 1 [Orbicella faveolata]"
"XP_020601167.1","plakophilin-4-like [Orbicella faveolata]"
"XP_020601169.1","uncharacterized protein LOC110040293 [Orbicella faveolata]"
"XP_020601171.1","uncharacterized protein LOC110040296 [Orbicella faveolata]"
"XP_020601172.1","multidrug resistance-associated protein 4-like, partial [Orbicella faveolata]"
"XP_020601180.1","uncharacterized protein LOC110040304 [Orbicella faveolata]"
"XP_020601193.1","Golgi-associated PDZ and coiled-coil motif-containing protein-like [Orbicella faveolata]"
"XP_020601194.1","uncharacterized protein LOC110040319 [Orbicella faveolata]"
"XP_020601196.1","LOW QUALITY PROTEIN: uncharacterized protein LOC110040320, partial [Orbicella faveolata]"
"XP_020601198.1","uncharacterized protein LOC110040322 [Orbicella faveolata]"
"XP_020601210.1","sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1-like [Orbicella faveolata]"
"XP_020601212.1","uncharacterized protein LOC110040335 [Orbicella faveolata]"
"XP_020601215.1","uncharacterized protein LOC110040338 [Orbicella faveolata]"
"XP_020601216.1","EF-hand calcium-binding domain-containing protein 6-like [Orbicella faveolata]"
"XP_020601218.1","glycosaminoglycan xylosylkinase-like [Orbicella faveolata]"
"XP_020601231.1","sulfatase-modifying factor 1-like [Orbicella faveolata]"
"XP_020601240.1","uncharacterized protein LOC110040356 [Orbicella faveolata]"
"XP_020601244.1","tolloid-like protein 1 isoform X1 [Orbicella faveolata]"
"XP_020601246.1","dnaJ homolog subfamily A member 3, mitochondrial-like isoform X1 [Orbicella faveolata]"
"XP_020601251.1","ruvB-like 1 [Orbicella faveolata]"
"XP_020601256.1","uncharacterized protein LOC110040369 [Orbicella faveolata]"
"XP_020601257.1","sorting nexin-33-like [Orbicella faveolata]"
"XP_020601259.1","Golgi-associated PDZ and coiled-coil motif-containing protein-like [Orbicella faveolata]"
"XP_020601260.1","CSC1-like protein ERD4 [Orbicella faveolata]"
"XP_020601271.1","prefoldin subunit 1-like [Orbicella faveolata]"
"XP_020601285.1","serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform-like [Orbicella faveolata]"
"XP_020601286.1","uncharacterized protein LOC110040396 isoform X1 [Orbicella faveolata]"
"XP_020601292.1","long-chain-fatty-acid--CoA ligase 4-like isoform X1 [Orbicella faveolata]"
"XP_020601295.1","fibronectin type 3 and ankyrin repeat domains protein 1-like isoform X1 [Orbicella faveolata]"
"XP_020601298.1","sulfatase-modifying factor 1-like [Orbicella faveolata]"
"XP_020601300.1","mulatexin-like [Orbicella faveolata]"
"XP_020601302.1","uncharacterized protein LOC110040411 isoform X1 [Orbicella faveolata]"
"XP_020601306.1","H/ACA ribonucleoprotein complex subunit 1-like [Orbicella faveolata]"
"XP_020601307.1","uncharacterized protein LOC110040412 isoform X1 [Orbicella faveolata]"
"XP_020601314.1","ATP-binding cassette sub-family B member 7, mitochondrial-like [Orbicella faveolata]"
"XP_020601315.1","uncharacterized protein LOC110040412 isoform X2 [Orbicella faveolata]"
"XP_020601318.1","uncharacterized protein LOC110040421 [Orbicella faveolata]"
"XP_020601323.1","uncharacterized protein LOC110040412 isoform X3 [Orbicella faveolata]"
"XP_020601324.1","U4/U6.U5 tri-snRNP-associated protein 2-like [Orbicella faveolata]"
"XP_020601325.1","U4/U6.U5 tri-snRNP-associated protein 2-like [Orbicella faveolata]"
"XP_020601336.1","hephaestin-like protein [Orbicella faveolata]"
"XP_020601337.1","RNA polymerase II degradation factor 1-like [Orbicella faveolata]"
"XP_020601371.1","uncharacterized protein LOC110040478 [Orbicella faveolata]"
"XP_020601372.1","uncharacterized protein LOC110040483 [Orbicella faveolata]"
"XP_020601382.1","probable acyl-CoA dehydrogenase 6 isoform X1 [Orbicella faveolata]"
"XP_020601384.1","splicing factor 3B subunit 3-like [Orbicella faveolata]"
"XP_020601388.1","peptidyl-prolyl cis-trans isomerase B-like [Orbicella faveolata]"
"XP_020601390.1","pyruvate dehydrogenase [acetyl-transferring]-phosphatase 2, mitochondrial-like [Orbicella faveolata]"
"XP_020601402.1","calcium load-activated calcium channel-like [Orbicella faveolata]"
"XP_020601405.1","neurexin-4-like [Orbicella faveolata]"
"XP_020601410.1","glucose-6-phosphate isomerase-like isoform X1 [Orbicella faveolata]"
"XP_020601412.1","acyl-coenzyme A synthetase ACSM3, mitochondrial-like [Orbicella faveolata]"
"XP_020601413.1","EGF domain-specific O-linked N-acetylglucosamine transferase-like isoform X1 [Orbicella faveolata]"
"XP_020601420.1","E3 ubiquitin-protein ligase UBR4-like isoform X1 [Orbicella faveolata]"
"XP_020601439.1","uncharacterized protein LOC110040540 [Orbicella faveolata]"
"XP_020601442.1","sodium/glucose cotransporter 1-like [Orbicella faveolata]"
"XP_020601459.1","neuronal calcium sensor 1-like [Orbicella faveolata]"
"XP_020601460.1","neuronal calcium sensor 1-like [Orbicella faveolata]"
"XP_020601486.1","uncharacterized protein LOC110040575 [Orbicella faveolata]"
"XP_020601488.1","ubiquitin-conjugating enzyme E2 variant 2-like [Orbicella faveolata]"
"XP_020601490.1","dynein heavy chain 5, axonemal-like [Orbicella faveolata]"
"XP_020601491.1","cytochrome c oxidase subunit NDUFA4-like [Orbicella faveolata]"
"XP_020601492.1","translocase of chloroplast 159, chloroplastic-like [Orbicella faveolata]"
"XP_020601493.1","uncharacterized protein LOC110040584 [Orbicella faveolata]"
"XP_020601495.1","replication factor C subunit 4-like [Orbicella faveolata]"
"XP_020601498.1","riboflavin kinase-like isoform X1 [Orbicella faveolata]"
"XP_020601502.1","E3 ubiquitin-protein ligase RNF13-like [Orbicella faveolata]"
"XP_020601505.1","peptidyl-prolyl cis-trans isomerase NIMA-interacting 4-like [Orbicella faveolata]"
"XP_020601507.1","sodium-coupled monocarboxylate transporter 1-like [Orbicella faveolata]"
"XP_020601509.1","beta-galactosidase-1-like protein 2 [Orbicella faveolata]"
"XP_020601515.1","A disintegrin and metalloproteinase with thrombospondin motifs 20-like isoform X1 [Orbicella faveolata]"
"XP_020601516.1","WD40 repeat-containing protein SMU1-like [Orbicella faveolata]"
"XP_020601526.1","GDP-fucose protein O-fucosyltransferase 2-like isoform X1 [Orbicella faveolata]"
"XP_020601529.1","MIF4G domain-containing protein B-like [Orbicella faveolata]"
"XP_020601537.1","uncharacterized protein LOC110040616 isoform X1 [Orbicella faveolata]"
"XP_020601542.1","annexin A7-like [Orbicella faveolata]"
"XP_020601546.1","DNA-directed RNA polymerases I, II, and III subunit RPABC3 [Orbicella faveolata]"
"XP_020601548.1","dolichol-phosphate mannosyltransferase subunit 1-like isoform X1 [Orbicella faveolata]"
"XP_020601555.1","A disintegrin and metalloproteinase with thrombospondin motifs 6-like [Orbicella faveolata]"
"XP_020601559.1","60S ribosomal protein L14-like [Orbicella faveolata]"
"XP_020601562.1","flocculation protein FLO11-like isoform X1 [Orbicella faveolata]"
"XP_020601564.1","uncharacterized protein LOC110040636 [Orbicella faveolata]"
"XP_020601572.1","14-3-3 protein zeta-like [Orbicella faveolata]"
"XP_020601573.1","14-3-3 protein zeta-like [Orbicella faveolata]"
"XP_020601575.1","integumentary mucin C.1-like [Orbicella faveolata]"
"XP_020601576.1","general transcription factor IIF subunit 2-like [Orbicella faveolata]"
"XP_020601577.1","profilin-2-like [Orbicella faveolata]"
"XP_020601579.1","60S ribosomal protein L27-like [Orbicella faveolata]"
"XP_020601587.1","tetratricopeptide repeat protein 28-like, partial [Orbicella faveolata]"
"XP_020601589.1","ras-related protein Rab6 [Orbicella faveolata]"
"XP_020601593.1","uncharacterized protein LOC110040657 [Orbicella faveolata]"
"XP_020601595.1","uncharacterized protein LOC110040659 [Orbicella faveolata]"
"XP_020601602.1","uncharacterized protein LOC110040665 [Orbicella faveolata]"
"XP_020601603.1","uncharacterized protein LOC110040667 isoform X1 [Orbicella faveolata]"
"XP_020601605.1","uncharacterized protein LOC110040668 [Orbicella faveolata]"
"XP_020601606.1","uncharacterized protein LOC110040669 [Orbicella faveolata]"
"XP_020601612.1","sorting nexin-6-like [Orbicella faveolata]"
"XP_020601613.1","sorting nexin-6-like [Orbicella faveolata]"
"XP_020601614.1","protein dpy-30 homolog [Orbicella faveolata]"
"XP_020601616.1","keratin-associated protein 5-4-like [Orbicella faveolata]"
"XP_020601617.1","uncharacterized protein LOC110040677 [Orbicella faveolata]"
"XP_020601619.1","symplekin-like [Orbicella faveolata]"
"XP_020601621.1","ADP-ribosylation factor-like protein 2 [Orbicella faveolata]"
"XP_020601622.1","uncharacterized protein LOC110040687 [Orbicella faveolata]"
"XP_020601625.1","tubulin--tyrosine ligase-like protein 12 [Orbicella faveolata]"
"XP_020601628.1","probable steroid-binding protein 3 [Orbicella faveolata]"
"XP_020601631.1","beta-1,4-N-acetylgalactosaminyltransferase 3-like [Orbicella faveolata]"
"XP_020601632.1","importin subunit beta-1-like [Orbicella faveolata]"
"XP_020601640.1","inactive phospholipase C-like protein 1 [Orbicella faveolata]"
"XP_020601643.1","uncharacterized protein LOC110040718 [Orbicella faveolata]"
"XP_020601655.1","sterol-4-alpha-carboxylate 3-dehydrogenase, decarboxylating-like [Orbicella faveolata]"
"XP_020601657.1","solute carrier family 2, facilitated glucose transporter member 3-like isoform X1 [Orbicella faveolata]"
"XP_020601664.1","solute carrier family 15 member 1-like [Orbicella faveolata]"
"XP_020601671.1","titin-like [Orbicella faveolata]"
"XP_020601672.1","oxysterol-binding protein 1-like isoform X1 [Orbicella faveolata]"
"XP_020601674.1","ras-related protein Rab-3A-like [Orbicella faveolata]"
"XP_020601675.1","UPF0390 protein zgc136864-like [Orbicella faveolata]"
"XP_020601679.1","pyruvate dehydrogenase protein X component-like [Orbicella faveolata]"
"XP_020601680.1","RILP-like protein 1 [Orbicella faveolata]"
"XP_020601682.1","double C2-like domain-containing protein beta [Orbicella faveolata]"
"XP_020601684.1","uncharacterized protein LOC110040754 [Orbicella faveolata]"
"XP_020601689.1","golgin subfamily B member 1-like [Orbicella faveolata]"
"XP_020601692.1","solute carrier family 13 member 5-like [Orbicella faveolata]"
"XP_020601695.1","proline-rich transmembrane protein 1-like [Orbicella faveolata]"
"XP_020601698.1","serine/threonine-protein kinase Chk2-like, partial [Orbicella faveolata]"
"XP_020601700.1","smoothelin-like [Orbicella faveolata]"
"XP_020601703.1","protein unc-119 homolog B-like [Orbicella faveolata]"
